contract_id,source_id,release_name,series_identifier,definition,unit,frequency,publication_calendar,available_history,revision_policy,intended_model_use,known_limitations,official_source_url,machine_access_url,value_classification,aggregation_level,required,expected_null_policy
FR2004_TSY_NET_POSITIONS,nyfed_fr2004,FR 2004 Primary Dealer Statistics,FR 2004A/B/C; Treasury net-position API code resolved from /api/pd/list/timeseries.csv,Aggregate net positions of primary dealers in U.S. Treasury securities for the applicable maturity or reporting bucket.,USD millions,"Weekly, as of reporting date","Weekly; Thursday approximately 4:15 p.m. ET, reporting the previous week's statistics.",1998-01-28 to present; segmented when FR 2004 reporting structure changes.,Retain immutable raw snapshots and SHA-256 hashes. Resolve the official NY Fed API code from the time-series-list endpoint for the applicable reporting regime; do not splice regime segments without an explicit mapping.,Dealer-inventory state variable; proxy for intermediation capacity and inventory liquidation pressure.,"Aggregate primary-dealer data; no dealer identities, no FICC-member mapping, structural breaks across reporting regimes, and no direct CCP liquidity obligation.",https://www.newyorkfed.org/markets/counterparties/primary-dealers-statistics,https://markets.newyorkfed.org/api/pd/list/timeseries.csv,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
FR2004_TSY_OUTRIGHT_TRANSACTIONS,nyfed_fr2004,FR 2004 Primary Dealer Statistics,FR 2004A/B/C; Treasury outright-transaction API code resolved from /api/pd/list/timeseries.csv,"Aggregate outright purchases and sales of U.S. Treasury securities, generally reported as a daily average for the week.","USD millions, daily average",Weekly publication,"Weekly; Thursday approximately 4:15 p.m. ET, reporting the previous week's statistics.",1998-01-28 to present; segmented when FR 2004 reporting structure changes.,Retain immutable raw snapshots and SHA-256 hashes. Resolve the official NY Fed API code from the time-series-list endpoint for the applicable reporting regime; do not splice regime segments without an explicit mapping.,Market-turnover and liquidation-capacity proxy used to scale stressed liquidation horizons and market-depth assumptions.,"Aggregate primary-dealer data; no dealer identities, no FICC-member mapping, structural breaks across reporting regimes, and no direct CCP liquidity obligation. Transactions exclude repurchase and reverse-repurchase agreements.",https://www.newyorkfed.org/markets/counterparties/primary-dealers-statistics,https://markets.newyorkfed.org/api/pd/list/timeseries.csv,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
FR2004_TSY_REPO_FINANCING,nyfed_fr2004,FR 2004 Primary Dealer Statistics,FR 2004A/B/C; Treasury repo-financing API code resolved from /api/pd/list/timeseries.csv,Aggregate primary-dealer securities-out financing in repurchase agreements collateralized by Treasury securities.,USD millions,"Weekly, as of reporting date","Weekly; Thursday approximately 4:15 p.m. ET, reporting the previous week's statistics.",1998-01-28 to present; segmented when FR 2004 reporting structure changes.,Retain immutable raw snapshots and SHA-256 hashes. Resolve the official NY Fed API code from the time-series-list endpoint for the applicable reporting regime; do not splice regime segments without an explicit mapping.,Secured-funding dependence and rollover-pressure proxy for hypothetical liquidity stresses.,"Aggregate primary-dealer data; no dealer identities, no FICC-member mapping, structural breaks across reporting regimes, and no direct CCP liquidity obligation. Aggregation and netting conventions may change by reporting regime.",https://www.newyorkfed.org/markets/counterparties/primary-dealers-statistics,https://markets.newyorkfed.org/api/pd/list/timeseries.csv,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
FR2004_TSY_REVERSE_REPO_FINANCING,nyfed_fr2004,FR 2004 Primary Dealer Statistics,FR 2004A/B/C; Treasury reverse-repo/securities-in API code resolved from /api/pd/list/timeseries.csv,Aggregate primary-dealer securities-in financing through reverse repurchase agreements collateralized by Treasury securities.,USD millions,"Weekly, as of reporting date","Weekly; Thursday approximately 4:15 p.m. ET, reporting the previous week's statistics.",1998-01-28 to present; segmented when FR 2004 reporting structure changes.,Retain immutable raw snapshots and SHA-256 hashes. Resolve the official NY Fed API code from the time-series-list endpoint for the applicable reporting regime; do not splice regime segments without an explicit mapping.,"Collateral sourcing, matched-book activity, and secured-funding-flow proxy.","Aggregate primary-dealer data; no dealer identities, no FICC-member mapping, structural breaks across reporting regimes, and no direct CCP liquidity obligation. Does not identify centrally cleared versus uncleared financing at participant level.",https://www.newyorkfed.org/markets/counterparties/primary-dealers-statistics,https://markets.newyorkfed.org/api/pd/list/timeseries.csv,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
FR2004_TSY_FAILS_TO_RECEIVE,nyfed_fr2004,FR 2004F Settlement Fails,FR 2004F; U.S. Treasury securities cumulative weekly fails to receive,Cumulative weekly total obtained by summing each business day's outstanding Treasury fails to receive for the primary-dealer community.,"USD millions, cumulative weekly total",Weekly,"Weekly; Thursday approximately 4:15 p.m. ET, reporting the previous week's statistics.","July 1990 to present for Treasury fails, subject to historical reporting changes.",Retain immutable raw snapshots and SHA-256 hashes. Resolve the official NY Fed API code from the time-series-list endpoint for the applicable reporting regime; do not splice regime segments without an explicit mapping.,Settlement-friction stress indicator and historical scenario trigger for liquidity calls and delayed incoming securities.,Primary-dealer aggregate only; cumulative weekly flow-like measure is not a point-in-time exposure and should not be summed again.,https://www.newyorkfed.org/markets/pridealers_failsprimer.html,https://markets.newyorkfed.org/api/pd/list/timeseries.csv,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
FR2004_TSY_FAILS_TO_DELIVER,nyfed_fr2004,FR 2004F Settlement Fails,FR 2004F; U.S. Treasury securities cumulative weekly fails to deliver,Cumulative weekly total obtained by summing each business day's outstanding Treasury fails to deliver for the primary-dealer community.,"USD millions, cumulative weekly total",Weekly,"Weekly; Thursday approximately 4:15 p.m. ET, reporting the previous week's statistics.","July 1990 to present for Treasury fails, subject to historical reporting changes.",Retain immutable raw snapshots and SHA-256 hashes. Resolve the official NY Fed API code from the time-series-list endpoint for the applicable reporting regime; do not splice regime segments without an explicit mapping.,Settlement-friction stress indicator and historical scenario trigger for outgoing-delivery disruption and liquidity substitution.,Primary-dealer aggregate only; cumulative weekly flow-like measure is not a point-in-time exposure and should not be summed again.,https://www.newyorkfed.org/markets/pridealers_failsprimer.html,https://markets.newyorkfed.org/api/pd/list/timeseries.csv,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
SOFR_RATE,nyfed_sofr,Secured Overnight Financing Rate Data,SOFR / API field percentRate,Volume-weighted median rate for eligible overnight Treasury repo transactions.,Percent per annum,Business daily,Business daily at approximately 8:00 a.m. ET for the prior business day's transactions.,2018-04-02 value date to present; first published 2018-04-03.,Capture the first publication and any approximately 2:30 p.m. ET same-day revision. Rate revision is expected only when the change exceeds one basis point; prior-day revisions are exceptional.,"Base secured-funding rate, liquidity-cost benchmark, and starting point for repo-rate stress shocks.","Broad Treasury-repo benchmark including tri-party, GCF Repo, and filtered FICC DVP bilateral activity; not FICC-only, not participant-specific, and subject to contingency methodology.",https://www.newyorkfed.org/markets/reference-rates/sofr,https://markets.newyorkfed.org/api/rates/secured/sofr/search.json,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
SOFR_P01,nyfed_sofr,Secured Overnight Financing Rate Data,SOFR / API field percentile1,1st volume-weighted percentile of eligible overnight Treasury repo transaction rates.,Percent per annum,Business daily,Business daily at approximately 8:00 a.m. ET for the prior business day's transactions.,2018-04-02 value date to present; first published 2018-04-03.,Capture the first publication and any approximately 2:30 p.m. ET same-day revision. Rate revision is expected only when the change exceeds one basis point; prior-day revisions are exceptional.,Distribution-shape and tail-spread input used to calibrate funding-rate dispersion and stressed haircuts.,"Broad Treasury-repo benchmark including tri-party, GCF Repo, and filtered FICC DVP bilateral activity; not FICC-only, not participant-specific, and subject to contingency methodology. Percentiles may be unavailable when contingency data are used.",https://www.newyorkfed.org/markets/reference-rates/sofr,https://markets.newyorkfed.org/api/rates/secured/sofr/search.json,observed,official aggregate,True,Allow source-declared missing percentile values only when the NY Fed indicates contingency publication; otherwise reject.
SOFR_P25,nyfed_sofr,Secured Overnight Financing Rate Data,SOFR / API field percentile25,25th volume-weighted percentile of eligible overnight Treasury repo transaction rates.,Percent per annum,Business daily,Business daily at approximately 8:00 a.m. ET for the prior business day's transactions.,2018-04-02 value date to present; first published 2018-04-03.,Capture the first publication and any approximately 2:30 p.m. ET same-day revision. Rate revision is expected only when the change exceeds one basis point; prior-day revisions are exceptional.,Distribution-shape and tail-spread input used to calibrate funding-rate dispersion and stressed haircuts.,"Broad Treasury-repo benchmark including tri-party, GCF Repo, and filtered FICC DVP bilateral activity; not FICC-only, not participant-specific, and subject to contingency methodology. Percentiles may be unavailable when contingency data are used.",https://www.newyorkfed.org/markets/reference-rates/sofr,https://markets.newyorkfed.org/api/rates/secured/sofr/search.json,observed,official aggregate,True,Allow source-declared missing percentile values only when the NY Fed indicates contingency publication; otherwise reject.
SOFR_P75,nyfed_sofr,Secured Overnight Financing Rate Data,SOFR / API field percentile75,75th volume-weighted percentile of eligible overnight Treasury repo transaction rates.,Percent per annum,Business daily,Business daily at approximately 8:00 a.m. ET for the prior business day's transactions.,2018-04-02 value date to present; first published 2018-04-03.,Capture the first publication and any approximately 2:30 p.m. ET same-day revision. Rate revision is expected only when the change exceeds one basis point; prior-day revisions are exceptional.,Distribution-shape and tail-spread input used to calibrate funding-rate dispersion and stressed haircuts.,"Broad Treasury-repo benchmark including tri-party, GCF Repo, and filtered FICC DVP bilateral activity; not FICC-only, not participant-specific, and subject to contingency methodology. Percentiles may be unavailable when contingency data are used.",https://www.newyorkfed.org/markets/reference-rates/sofr,https://markets.newyorkfed.org/api/rates/secured/sofr/search.json,observed,official aggregate,True,Allow source-declared missing percentile values only when the NY Fed indicates contingency publication; otherwise reject.
SOFR_P99,nyfed_sofr,Secured Overnight Financing Rate Data,SOFR / API field percentile99,99th volume-weighted percentile of eligible overnight Treasury repo transaction rates.,Percent per annum,Business daily,Business daily at approximately 8:00 a.m. ET for the prior business day's transactions.,2018-04-02 value date to present; first published 2018-04-03.,Capture the first publication and any approximately 2:30 p.m. ET same-day revision. Rate revision is expected only when the change exceeds one basis point; prior-day revisions are exceptional.,Distribution-shape and tail-spread input used to calibrate funding-rate dispersion and stressed haircuts.,"Broad Treasury-repo benchmark including tri-party, GCF Repo, and filtered FICC DVP bilateral activity; not FICC-only, not participant-specific, and subject to contingency methodology. Percentiles may be unavailable when contingency data are used.",https://www.newyorkfed.org/markets/reference-rates/sofr,https://markets.newyorkfed.org/api/rates/secured/sofr/search.json,observed,official aggregate,True,Allow source-declared missing percentile values only when the NY Fed indicates contingency publication; otherwise reject.
SOFR_VOLUME,nyfed_sofr,Secured Overnight Financing Rate Data,SOFR / API field volumeInBillions,"Total eligible overnight transaction volume used in the SOFR calculation, rounded to the nearest USD billion.",USD billions,Business daily,Business daily at approximately 8:00 a.m. ET for the prior business day's transactions.,2018-04-02 value date to present; first published 2018-04-03.,Capture the first publication and any approximately 2:30 p.m. ET same-day revision. Rate revision is expected only when the change exceeds one basis point; prior-day revisions are exceptional.,Market-depth state variable and scaling input for stressed liquidation and funding-capacity scenarios.,"Broad Treasury-repo benchmark including tri-party, GCF Repo, and filtered FICC DVP bilateral activity; not FICC-only, not participant-specific, and subject to contingency methodology. Volume is rounded and may be unavailable under contingency publication.",https://www.newyorkfed.org/markets/reference-rates/sofr,https://markets.newyorkfed.org/api/rates/secured/sofr/search.json,observed,official aggregate,True,Allow source-declared missing volume only during documented contingency publication; otherwise reject.
H15_DGS1MO,frb_h15,H.15 Selected Interest Rates,DGS1MO,"Market yield on U.S. Treasury securities at 1-month constant maturity, quoted on an investment basis.",Percent per annum,Business daily,Daily Monday-Friday at 4:15 p.m. ET; no release on holidays or Board-closure days.,2001-07-31 to present,Preserve retrieval date and source vintage. Revisions or corrections must create a new raw-data version; do not overwrite a vintage used in a completed model run.,"Treasury curve node for discounting, parallel/nonparallel yield shocks, and 1-month liquidation-value stress.",Nominal constant-maturity yield is an interpolated par yield based on Treasury market inputs; it is not an executable transaction rate. Missing dates must follow the official business calendar.,https://fred.stlouisfed.org/series/DGS1MO,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DGS1MO,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
